Alter_beim_Tod,Zuckerkonsum,Alkoholkonsum,BMI,Sozialstatus,Sport,Raucher,Geschlecht
80,mittel,moderat,26.2,obere Mittelschicht,moderat,nein,divers
77,niedrig,mittel,26.4,Mittelschicht,viel,nein,divers
68,mittel,hoch,25.9,obere Mittelschicht,moderat,nein,divers
77,mittel,hoch,22.1,Mittelschicht,keiner,nein,w
93,niedrig,moderat,26.9,Mittelschicht,viel,nein,divers
63,niedrig,moderat,27.6,obere Mittelschicht,moderat,nein,divers
65,niedrig,keiner,28.1,Mittelschicht,keiner,ja,w
86,mittel,moderat,21.7,Mittelschicht,moderat,nein,divers
84,hoch,keiner,26.7,obere Mittelschicht,moderat,nein,w
83,niedrig,moderat,32.6,obere Mittelschicht,viel,nein,divers
72,mittel,mittel,22.0,untere Mittelschicht,moderat,nein,m
66,mittel,mittel,21.7,obere Mittelschicht,viel,nein,m
74,hoch,moderat,26.4,reich,moderat,nein,m
77,mittel,keiner,28.3,Mittelschicht,keiner,nein,m
75,mittel,moderat,30.8,obere Mittelschicht,moderat,nein,w
72,niedrig,keiner,35.9,arm,moderat,nein,w
81,niedrig,keiner,21.6,reich,keiner,ja,m
64,niedrig,keiner,26.9,untere Mittelschicht,keiner,nein,divers
72,hoch,moderat,27.9,untere Mittelschicht,moderat,nein,divers
79,mittel,mittel,24.7,untere Mittelschicht,moderat,nein,w
66,mittel,hoch,18.9,Mittelschicht,viel,ja,divers
70,mittel,mittel,28.4,untere Mittelschicht,viel,nein,divers
77,hoch,mittel,20.0,Mittelschicht,keiner,nein,divers
76,mittel,moderat,26.5,Mittelschicht,viel,nein,m
66,mittel,moderat,25.6,obere Mittelschicht,moderat,ja,m
75,mittel,hoch,20.4,untere Mittelschicht,viel,nein,w
78,mittel,mittel,27.2,Mittelschicht,moderat,ja,m
85,niedrig,moderat,29.2,obere Mittelschicht,moderat,nein,w
61,niedrig,mittel,21.2,untere Mittelschicht,moderat,nein,w
80,niedrig,moderat,27.1,obere Mittelschicht,moderat,nein,m
80,niedrig,mittel,40.4,Mittelschicht,viel,nein,divers
80,mittel,moderat,29.5,arm,moderat,nein,m
84,mittel,moderat,27.6,Mittelschicht,moderat,nein,divers
71,mittel,moderat,28.0,Mittelschicht,moderat,ja,divers
67,niedrig,keiner,24.1,Mittelschicht,viel,ja,m
70,mittel,moderat,25.3,Mittelschicht,viel,nein,m
98,hoch,moderat,17.5,Mittelschicht,moderat,nein,m
81,niedrig,hoch,18.5,Mittelschicht,moderat,ja,w
70,niedrig,keiner,29.4,untere Mittelschicht,moderat,nein,m
75,niedrig,mittel,20.7,untere Mittelschicht,keiner,nein,divers
67,mittel,keiner,27.7,untere Mittelschicht,moderat,nein,m
67,niedrig,mittel,25.9,Mittelschicht,viel,ja,divers
75,mittel,hoch,22.4,untere Mittelschicht,moderat,nein,divers
96,mittel,mittel,27.5,obere Mittelschicht,viel,ja,m
54,niedrig,keiner,25.7,untere Mittelschicht,moderat,ja,w
68,mittel,moderat,28.4,untere Mittelschicht,moderat,nein,divers
67,hoch,keiner,24.5,untere Mittelschicht,moderat,nein,divers
80,mittel,hoch,28.5,Mittelschicht,moderat,nein,w
62,hoch,keiner,23.7,untere Mittelschicht,moderat,nein,divers
70,hoch,moderat,22.4,Mittelschicht,moderat,nein,w
92,mittel,moderat,26.6,arm,keiner,nein,w
62,mittel,keiner,28.7,untere Mittelschicht,moderat,nein,divers
96,hoch,hoch,29.1,Mittelschicht,moderat,ja,m
59,mittel,mittel,23.1,reich,keiner,nein,divers
87,hoch,hoch,22.2,Mittelschicht,moderat,nein,m
79,hoch,moderat,28.1,Mittelschicht,moderat,nein,divers
65,niedrig,keiner,24.8,untere Mittelschicht,keiner,nein,divers
42,hoch,keiner,20.9,obere Mittelschicht,moderat,ja,divers
72,mittel,mittel,20.0,Mittelschicht,viel,ja,divers
91,niedrig,moderat,19.3,obere Mittelschicht,moderat,ja,divers
70,mittel,moderat,25.5,untere Mittelschicht,moderat,nein,m
89,niedrig,mittel,19.3,untere Mittelschicht,viel,nein,m
86,mittel,mittel,25.0,Mittelschicht,moderat,nein,w
65,niedrig,moderat,26.8,Mittelschicht,viel,nein,m
76,hoch,moderat,22.6,obere Mittelschicht,moderat,nein,divers
75,niedrig,keiner,23.5,obere Mittelschicht,viel,nein,divers
76,mittel,keiner,27.6,Mittelschicht,moderat,nein,divers
90,mittel,hoch,20.0,obere Mittelschicht,viel,ja,w
96,niedrig,mittel,17.2,arm,viel,nein,w
73,mittel,mittel,27.4,obere Mittelschicht,viel,nein,m
77,niedrig,hoch,22.5,Mittelschicht,keiner,nein,m
72,mittel,moderat,23.0,obere Mittelschicht,moderat,nein,m
69,niedrig,mittel,28.4,untere Mittelschicht,moderat,nein,m
78,hoch,mittel,22.2,obere Mittelschicht,moderat,nein,divers
83,hoch,moderat,26.2,Mittelschicht,moderat,ja,divers
83,hoch,hoch,27.5,obere Mittelschicht,moderat,ja,divers
66,mittel,keiner,22.8,untere Mittelschicht,moderat,ja,w
82,mittel,moderat,27.4,Mittelschicht,keiner,nein,divers
74,mittel,keiner,25.5,untere Mittelschicht,moderat,nein,divers
87,niedrig,hoch,22.6,untere Mittelschicht,moderat,ja,w
80,mittel,mittel,24.2,Mittelschicht,moderat,nein,m
72,mittel,moderat,29.4,Mittelschicht,moderat,nein,w
83,mittel,moderat,28.3,reich,viel,ja,w
88,mittel,moderat,25.1,reich,moderat,nein,divers
81,mittel,keiner,23.8,obere Mittelschicht,viel,nein,divers
78,mittel,mittel,24.5,reich,viel,ja,w
75,niedrig,keiner,27.4,untere Mittelschicht,viel,nein,divers
66,hoch,mittel,33.4,reich,moderat,nein,w
64,niedrig,moderat,20.1,untere Mittelschicht,viel,nein,w
86,niedrig,keiner,28.2,Mittelschicht,viel,nein,w
81,hoch,moderat,27.5,obere Mittelschicht,moderat,nein,divers
74,hoch,mittel,21.4,Mittelschicht,keiner,nein,m
75,hoch,mittel,22.3,reich,viel,nein,w
84,niedrig,moderat,24.4,untere Mittelschicht,keiner,nein,divers
66,mittel,moderat,23.7,obere Mittelschicht,viel,ja,m
79,mittel,mittel,22.7,reich,moderat,nein,divers
66,niedrig,mittel,26.0,reich,moderat,nein,m
77,niedrig,keiner,23.0,reich,keiner,ja,divers
70,niedrig,moderat,25.9,Mittelschicht,viel,nein,w
60,mittel,mittel,19.4,obere Mittelschicht,moderat,nein,divers
67,mittel,hoch,24.1,arm,moderat,nein,m
78,hoch,keiner,30.9,Mittelschicht,moderat,nein,w
83,niedrig,moderat,24.4,reich,viel,nein,m
74,mittel,mittel,21.0,Mittelschicht,keiner,nein,m
74,hoch,mittel,23.8,untere Mittelschicht,viel,nein,divers
78,niedrig,mittel,21.7,Mittelschicht,keiner,nein,m
80,niedrig,hoch,31.1,reich,moderat,nein,m
73,mittel,keiner,26.6,arm,viel,ja,w
81,niedrig,moderat,23.4,untere Mittelschicht,moderat,ja,m
77,mittel,mittel,25.1,Mittelschicht,keiner,nein,divers
75,niedrig,mittel,21.9,obere Mittelschicht,moderat,nein,m
75,niedrig,moderat,27.0,Mittelschicht,moderat,nein,w
89,niedrig,keiner,28.8,Mittelschicht,keiner,ja,divers
96,mittel,mittel,21.9,Mittelschicht,moderat,ja,divers
83,mittel,keiner,25.7,obere Mittelschicht,viel,nein,divers
96,mittel,moderat,21.8,Mittelschicht,moderat,nein,w
66,mittel,mittel,22.6,Mittelschicht,moderat,ja,m
53,mittel,moderat,22.9,arm,keiner,nein,divers
67,mittel,mittel,25.6,Mittelschicht,moderat,nein,w
78,mittel,moderat,32.5,obere Mittelschicht,viel,nein,divers
84,niedrig,moderat,22.7,Mittelschicht,keiner,nein,m
66,mittel,moderat,27.0,untere Mittelschicht,viel,nein,w
61,mittel,mittel,32.3,obere Mittelschicht,viel,nein,divers
86,mittel,moderat,23.1,Mittelschicht,moderat,nein,m
57,niedrig,mittel,30.4,Mittelschicht,moderat,ja,m
73,mittel,moderat,30.0,untere Mittelschicht,moderat,ja,divers
59,mittel,moderat,22.6,Mittelschicht,keiner,nein,w
75,mittel,moderat,25.2,arm,keiner,ja,divers
70,niedrig,keiner,27.5,Mittelschicht,moderat,nein,w
64,niedrig,mittel,24.4,untere Mittelschicht,moderat,ja,divers
76,mittel,moderat,27.1,Mittelschicht,moderat,nein,m
82,niedrig,moderat,20.5,untere Mittelschicht,keiner,ja,w
59,niedrig,moderat,30.1,Mittelschicht,keiner,nein,m
78,mittel,mittel,22.0,obere Mittelschicht,keiner,nein,m
90,mittel,moderat,25.5,arm,moderat,nein,w
86,mittel,moderat,25.3,untere Mittelschicht,keiner,nein,divers
95,mittel,mittel,32.0,Mittelschicht,moderat,ja,w
72,mittel,moderat,28.9,Mittelschicht,moderat,nein,w
81,mittel,keiner,30.5,Mittelschicht,moderat,ja,w
65,mittel,hoch,27.7,Mittelschicht,keiner,ja,w
85,niedrig,mittel,18.0,obere Mittelschicht,moderat,ja,divers
63,mittel,mittel,16.8,obere Mittelschicht,moderat,nein,divers
72,mittel,hoch,27.9,Mittelschicht,viel,nein,w
90,niedrig,moderat,25.3,Mittelschicht,moderat,ja,divers
91,niedrig,moderat,19.5,arm,moderat,ja,divers
57,hoch,mittel,24.8,Mittelschicht,moderat,nein,divers
78,hoch,mittel,24.9,arm,viel,nein,m
54,mittel,moderat,24.6,untere Mittelschicht,keiner,ja,w
61,hoch,keiner,27.7,Mittelschicht,keiner,nein,w
78,mittel,mittel,21.2,Mittelschicht,viel,nein,w
69,mittel,keiner,20.8,Mittelschicht,moderat,nein,divers
74,mittel,moderat,28.8,obere Mittelschicht,moderat,nein,m
65,mittel,moderat,27.0,untere Mittelschicht,moderat,nein,divers
69,mittel,keiner,21.8,obere Mittelschicht,keiner,nein,divers
73,mittel,mittel,20.9,Mittelschicht,viel,nein,divers
69,hoch,keiner,20.2,Mittelschicht,moderat,ja,w
94,niedrig,moderat,25.1,reich,moderat,ja,m
68,niedrig,moderat,25.9,obere Mittelschicht,moderat,nein,divers
73,hoch,keiner,24.1,Mittelschicht,viel,ja,w
81,niedrig,keiner,28.0,Mittelschicht,moderat,nein,divers
69,mittel,moderat,22.7,Mittelschicht,moderat,nein,w
72,mittel,mittel,15.8,untere Mittelschicht,moderat,nein,w
59,hoch,keiner,30.5,Mittelschicht,moderat,nein,w
91,mittel,moderat,24.0,Mittelschicht,keiner,ja,divers
80,niedrig,moderat,26.2,Mittelschicht,viel,nein,m
100,mittel,moderat,29.5,untere Mittelschicht,keiner,ja,w
73,hoch,keiner,21.2,Mittelschicht,viel,ja,w
58,hoch,hoch,25.8,Mittelschicht,moderat,nein,w
67,hoch,moderat,19.3,arm,viel,nein,divers
68,mittel,keiner,20.7,arm,viel,nein,m
91,mittel,moderat,28.5,Mittelschicht,viel,ja,m
74,hoch,moderat,30.9,obere Mittelschicht,moderat,ja,w
75,niedrig,keiner,21.6,untere Mittelschicht,moderat,nein,m
90,niedrig,hoch,27.2,Mittelschicht,keiner,nein,m
64,mittel,moderat,24.2,arm,moderat,nein,m
66,mittel,keiner,19.5,reich,keiner,nein,divers
84,mittel,moderat,32.6,arm,viel,ja,w
61,hoch,moderat,27.3,arm,viel,nein,divers
68,mittel,keiner,23.1,Mittelschicht,viel,ja,w
69,mittel,mittel,21.5,untere Mittelschicht,viel,nein,divers
75,mittel,keiner,21.7,untere Mittelschicht,viel,nein,m
77,niedrig,keiner,24.8,untere Mittelschicht,keiner,nein,divers
72,mittel,mittel,21.4,Mittelschicht,keiner,nein,w
69,mittel,mittel,28.0,obere Mittelschicht,moderat,ja,w
80,mittel,moderat,21.1,Mittelschicht,viel,nein,m
75,mittel,moderat,28.0,reich,moderat,nein,divers
58,mittel,moderat,27.2,reich,keiner,ja,m
68,niedrig,mittel,27.3,Mittelschicht,moderat,nein,divers
67,mittel,moderat,17.8,obere Mittelschicht,viel,nein,w
58,niedrig,hoch,25.2,reich,keiner,nein,w
77,mittel,mittel,21.4,untere Mittelschicht,keiner,nein,divers
81,mittel,keiner,18.4,arm,viel,nein,w
74,hoch,keiner,20.2,untere Mittelschicht,moderat,nein,w
68,mittel,moderat,25.2,Mittelschicht,moderat,nein,m
66,hoch,keiner,23.5,untere Mittelschicht,moderat,nein,m
85,niedrig,moderat,22.7,Mittelschicht,viel,ja,w
83,niedrig,keiner,20.5,arm,keiner,nein,m
80,hoch,hoch,30.8,reich,moderat,nein,divers
50,mittel,mittel,21.8,obere Mittelschicht,viel,nein,divers
80,niedrig,moderat,24.2,untere Mittelschicht,viel,nein,m
78,mittel,keiner,22.6,Mittelschicht,moderat,nein,divers
75,niedrig,mittel,24.4,arm,moderat,nein,w
86,mittel,mittel,26.0,obere Mittelschicht,keiner,nein,divers
78,niedrig,moderat,23.4,Mittelschicht,keiner,nein,divers
70,mittel,keiner,23.3,reich,moderat,nein,m
78,hoch,moderat,23.3,Mittelschicht,keiner,nein,m
77,mittel,hoch,33.3,obere Mittelschicht,viel,ja,divers
83,hoch,moderat,23.7,Mittelschicht,moderat,ja,divers
87,niedrig,hoch,23.4,untere Mittelschicht,moderat,nein,divers
54,mittel,hoch,21.0,arm,viel,ja,divers
56,mittel,moderat,23.6,untere Mittelschicht,moderat,nein,m
75,mittel,mittel,31.7,untere Mittelschicht,viel,nein,divers
78,mittel,moderat,24.1,Mittelschicht,keiner,nein,w
83,niedrig,mittel,16.2,Mittelschicht,viel,nein,w
77,hoch,keiner,28.1,Mittelschicht,moderat,nein,w
60,niedrig,moderat,29.6,untere Mittelschicht,keiner,nein,divers
78,mittel,hoch,23.3,reich,viel,nein,divers
81,mittel,mittel,34.1,Mittelschicht,moderat,nein,w
76,mittel,keiner,26.0,Mittelschicht,moderat,ja,divers
70,mittel,keiner,21.6,Mittelschicht,viel,nein,w
83,niedrig,keiner,21.6,untere Mittelschicht,keiner,ja,w
75,mittel,moderat,23.1,Mittelschicht,moderat,ja,divers
79,niedrig,moderat,26.3,Mittelschicht,moderat,nein,divers
85,mittel,keiner,23.0,reich,moderat,nein,w
72,mittel,moderat,21.1,untere Mittelschicht,moderat,nein,m
70,niedrig,keiner,26.5,Mittelschicht,moderat,nein,divers
82,hoch,keiner,21.3,reich,moderat,nein,divers
83,mittel,moderat,30.4,Mittelschicht,viel,nein,divers
79,mittel,moderat,32.5,arm,moderat,ja,w
67,mittel,mittel,20.0,obere Mittelschicht,moderat,ja,w
57,niedrig,mittel,31.0,reich,moderat,ja,m
81,mittel,keiner,24.8,Mittelschicht,moderat,nein,m
77,hoch,moderat,20.5,Mittelschicht,viel,ja,w
99,mittel,keiner,25.5,Mittelschicht,moderat,nein,w
76,hoch,mittel,27.9,arm,keiner,ja,w
79,hoch,moderat,25.9,Mittelschicht,viel,nein,divers
67,mittel,moderat,26.9,obere Mittelschicht,viel,nein,divers
93,niedrig,moderat,30.4,reich,moderat,ja,w
90,mittel,mittel,23.0,Mittelschicht,moderat,nein,divers
65,hoch,mittel,24.5,untere Mittelschicht,keiner,nein,w
75,hoch,moderat,29.4,Mittelschicht,viel,ja,m
58,niedrig,mittel,31.1,Mittelschicht,moderat,ja,w
73,niedrig,mittel,23.3,untere Mittelschicht,moderat,ja,m
64,mittel,moderat,18.4,untere Mittelschicht,moderat,nein,divers
83,niedrig,keiner,25.3,Mittelschicht,moderat,nein,m
62,niedrig,moderat,19.8,reich,moderat,nein,w
71,mittel,keiner,31.7,reich,moderat,nein,m
72,mittel,moderat,19.0,obere Mittelschicht,viel,ja,m
72,mittel,mittel,23.9,reich,keiner,nein,w
48,niedrig,mittel,24.8,obere Mittelschicht,moderat,ja,w
72,mittel,keiner,27.8,reich,moderat,nein,divers
93,mittel,mittel,29.5,untere Mittelschicht,moderat,ja,m
72,mittel,mittel,20.6,Mittelschicht,viel,ja,w
100,mittel,moderat,25.2,obere Mittelschicht,keiner,nein,w
75,hoch,moderat,24.9,arm,moderat,ja,m
76,mittel,hoch,24.4,arm,moderat,nein,w
69,hoch,moderat,22.8,obere Mittelschicht,keiner,nein,divers
74,niedrig,mittel,22.8,Mittelschicht,keiner,nein,divers
67,mittel,mittel,25.4,Mittelschicht,viel,nein,m
72,niedrig,keiner,31.0,untere Mittelschicht,viel,nein,w
48,mittel,hoch,29.4,obere Mittelschicht,viel,nein,m
87,mittel,moderat,16.7,obere Mittelschicht,moderat,nein,w
71,niedrig,moderat,23.5,arm,moderat,nein,divers
60,mittel,keiner,21.9,obere Mittelschicht,moderat,nein,divers
63,mittel,keiner,32.0,Mittelschicht,viel,nein,divers
84,mittel,moderat,30.1,Mittelschicht,moderat,nein,m
82,mittel,mittel,20.5,obere Mittelschicht,moderat,ja,w
69,mittel,moderat,27.0,arm,viel,nein,w
62,niedrig,moderat,27.9,obere Mittelschicht,viel,nein,divers
72,hoch,moderat,23.5,obere Mittelschicht,moderat,nein,w
82,mittel,mittel,26.8,Mittelschicht,moderat,nein,w
71,niedrig,hoch,29.6,Mittelschicht,keiner,nein,m
64,mittel,hoch,27.5,Mittelschicht,viel,nein,w
80,hoch,moderat,23.8,Mittelschicht,moderat,nein,divers
78,mittel,keiner,20.0,Mittelschicht,moderat,nein,m
84,niedrig,keiner,24.3,Mittelschicht,moderat,nein,m
69,niedrig,keiner,29.2,Mittelschicht,moderat,nein,m
67,niedrig,hoch,19.4,untere Mittelschicht,viel,nein,divers
59,mittel,mittel,27.4,Mittelschicht,moderat,ja,divers
62,mittel,moderat,32.0,untere Mittelschicht,moderat,nein,divers
54,hoch,mittel,31.8,Mittelschicht,moderat,nein,divers
77,mittel,mittel,24.6,Mittelschicht,moderat,ja,w
69,niedrig,moderat,26.6,untere Mittelschicht,moderat,nein,m
74,hoch,hoch,29.4,Mittelschicht,viel,nein,m
76,mittel,moderat,25.6,Mittelschicht,keiner,nein,w
71,niedrig,mittel,24.8,untere Mittelschicht,moderat,nein,divers
78,niedrig,keiner,18.2,obere Mittelschicht,moderat,nein,m
61,mittel,mittel,28.0,Mittelschicht,viel,ja,m
76,hoch,keiner,24.3,reich,moderat,ja,divers
75,mittel,moderat,26.4,untere Mittelschicht,moderat,ja,w
69,mittel,moderat,21.9,untere Mittelschicht,moderat,nein,m
76,hoch,mittel,21.1,obere Mittelschicht,moderat,ja,w
79,mittel,moderat,18.2,untere Mittelschicht,keiner,ja,divers
85,mittel,moderat,26.9,untere Mittelschicht,moderat,nein,m
77,mittel,mittel,28.9,Mittelschicht,moderat,nein,divers
91,mittel,moderat,29.1,untere Mittelschicht,viel,ja,divers
56,mittel,keiner,19.9,obere Mittelschicht,viel,nein,divers
68,niedrig,mittel,25.1,reich,moderat,nein,w
80,niedrig,mittel,22.1,arm,keiner,ja,w
76,mittel,mittel,22.0,Mittelschicht,moderat,nein,w
68,niedrig,moderat,19.4,Mittelschicht,keiner,nein,divers
65,hoch,keiner,19.6,obere Mittelschicht,moderat,nein,m
65,niedrig,keiner,29.2,untere Mittelschicht,keiner,nein,w
65,niedrig,moderat,35.5,Mittelschicht,moderat,nein,divers
79,niedrig,mittel,25.7,obere Mittelschicht,moderat,nein,m
66,niedrig,moderat,27.8,Mittelschicht,keiner,ja,m
69,niedrig,mittel,25.5,Mittelschicht,moderat,nein,m
100,hoch,hoch,24.6,untere Mittelschicht,viel,nein,divers
86,mittel,keiner,22.2,arm,viel,nein,divers
74,mittel,keiner,32.1,obere Mittelschicht,keiner,ja,m
68,mittel,mittel,32.2,Mittelschicht,keiner,ja,m
82,mittel,mittel,22.8,Mittelschicht,moderat,nein,divers
81,niedrig,hoch,28.9,obere Mittelschicht,moderat,nein,m
81,niedrig,moderat,18.7,arm,moderat,nein,divers
67,mittel,mittel,24.0,arm,moderat,nein,w
74,niedrig,moderat,27.5,Mittelschicht,keiner,nein,w
76,niedrig,mittel,19.7,obere Mittelschicht,viel,ja,m
78,mittel,mittel,27.4,untere Mittelschicht,moderat,nein,m
80,niedrig,moderat,29.3,Mittelschicht,moderat,ja,m
83,mittel,moderat,26.8,Mittelschicht,keiner,ja,divers
74,niedrig,moderat,18.4,Mittelschicht,moderat,ja,w
79,mittel,mittel,25.8,Mittelschicht,viel,ja,divers
77,niedrig,moderat,19.9,untere Mittelschicht,moderat,nein,m
64,niedrig,moderat,29.2,untere Mittelschicht,viel,nein,m
74,mittel,moderat,27.7,Mittelschicht,moderat,ja,m
75,hoch,moderat,25.1,Mittelschicht,viel,nein,w
84,mittel,mittel,22.9,Mittelschicht,moderat,nein,divers
75,hoch,moderat,23.2,Mittelschicht,viel,nein,w
70,mittel,mittel,23.8,reich,viel,nein,w
77,hoch,moderat,23.1,untere Mittelschicht,moderat,nein,divers
87,niedrig,mittel,21.4,arm,viel,nein,m
73,mittel,moderat,23.2,Mittelschicht,viel,nein,w
89,mittel,keiner,25.8,Mittelschicht,moderat,ja,w
85,mittel,keiner,19.1,reich,moderat,nein,divers
77,hoch,mittel,28.6,Mittelschicht,keiner,nein,divers
75,hoch,moderat,29.3,Mittelschicht,keiner,nein,divers
69,mittel,keiner,30.6,Mittelschicht,moderat,nein,divers
97,mittel,mittel,23.5,reich,moderat,ja,w
70,niedrig,mittel,30.8,Mittelschicht,moderat,ja,w
90,mittel,mittel,22.9,Mittelschicht,moderat,nein,m
70,mittel,moderat,23.9,reich,keiner,nein,divers
61,niedrig,moderat,21.3,Mittelschicht,moderat,nein,w
64,niedrig,mittel,21.9,Mittelschicht,keiner,ja,divers
74,niedrig,mittel,25.9,Mittelschicht,moderat,ja,divers
90,niedrig,keiner,21.0,untere Mittelschicht,moderat,nein,m
84,mittel,mittel,24.1,untere Mittelschicht,moderat,nein,divers
74,mittel,keiner,27.7,Mittelschicht,moderat,nein,m
63,niedrig,mittel,26.5,obere Mittelschicht,moderat,nein,divers
76,niedrig,moderat,27.0,Mittelschicht,moderat,nein,divers
77,hoch,moderat,34.8,Mittelschicht,moderat,ja,w
68,hoch,mittel,22.9,obere Mittelschicht,viel,ja,divers
68,mittel,mittel,22.8,Mittelschicht,moderat,ja,w
68,mittel,moderat,29.8,Mittelschicht,keiner,nein,m
89,mittel,moderat,22.7,reich,viel,ja,m
66,mittel,keiner,26.9,Mittelschicht,moderat,ja,w
69,hoch,moderat,27.5,untere Mittelschicht,moderat,nein,divers
77,mittel,mittel,18.9,Mittelschicht,viel,nein,m
90,mittel,mittel,32.2,untere Mittelschicht,keiner,ja,w
68,niedrig,moderat,23.4,obere Mittelschicht,viel,nein,m
77,mittel,moderat,26.3,Mittelschicht,viel,nein,m
81,mittel,moderat,33.0,untere Mittelschicht,moderat,nein,divers
73,mittel,moderat,21.8,reich,moderat,nein,m
61,mittel,hoch,22.1,obere Mittelschicht,moderat,nein,divers
74,mittel,mittel,32.2,Mittelschicht,moderat,nein,m
69,hoch,mittel,25.9,Mittelschicht,moderat,nein,m
74,mittel,mittel,29.8,untere Mittelschicht,moderat,nein,divers
100,hoch,keiner,22.9,obere Mittelschicht,moderat,ja,w
70,hoch,keiner,29.2,obere Mittelschicht,moderat,nein,m
81,mittel,mittel,32.4,Mittelschicht,moderat,ja,w
